"統計名：","人口推計 各月1日現在人口 概算値"
"表番号：","001"
"表題：","[概算値] 年齢（５歳階級），男女，月別人口－総人口（各月１日現在）-令和２年国勢調査基準-"
"実施年月：","-","-"
"市区町村時点（年月日）：","-"

"***","該当数値がないもの"
"-","該当数値がないもの　"

"","","","","","","","","","","","","","","","","","","/男女別 コード","000","001","002"
"","","","","","","","","","","","","","","","","","","/男女別 補助コード","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","人口 コード","人口 補助コード","人口","概算値 コード","概算値 補助コード","概算値","全国 コード","全国 補助コード","全国","時間軸（年月日現在） コード","時間軸（年月日現在） 補助コード","時間軸（年月日現在）","年齢5歳階級 コード","年齢5歳階級 補助コード","年齢5歳階級","/男女別","男女計","男","女"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01000","","総数","","12,547","6,099","6,448"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01001","","0～4歳","","437","224","214"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01002","","5～9歳","","503","258","245"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01003","","10～14歳","","535","274","261"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01004","","15～19歳","","559","287","272"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01005","","20～24歳","","626","320","306"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01006","","25～29歳","","639","328","311"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01007","","30～34歳","","654","334","320"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01008","","35～39歳","","734","373","361"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01009","","40～44歳","","814","413","401"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01010","","45～49歳","","969","491","479"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01011","","50～54歳","","935","470","464"
"001","","人口【万人】","001","","総人口","01","","概算値","00000","","全国","2021001212","","2021年12月","01012","","55～59歳","","781","390","391"
